record,uuid,date,s2,s3,s4,s5r1,s5r2,s5r3,s5r4,s5r5,s5r6,s5r7,s6,s6r22oe,origcat,state,akc,alc,arc,azc,cac,coc,ctc,dec,flc,gac,hic,iac,idc,ilc,inc,ksc,kyc,lac,mac,mec,mdc,mic,mnc,moc,msc,mtc,ncc,ndc,nec,nhc,nmc,nvc,njc,nyc,ohc,okc,orc,pac,ric,scc,sdc,tnc,txc,utc,vac,vtc,wac,wic,wvc,wyc,s9,educat,s10,q1,q2,splitassignment1,pipeq3r1,pipeq3r2,pipeq3none,q3,q3r8oe,pipeq4r3,pipeq4r2,pipeq4none,q4r1,q4r2,q4r3,q4r4,q4r5,q4r6,q4r7,q4r8,q4r9,q5,q6,q7,q8r1,q8r2,q8r3,q8r4,q8r5,q8r6,q8r7,q8r8,q8r9,q8r10,q8r11,q8r12,q9,q10,q11,q12,q13,criminality,q14r1,q14r2,q14r3,q14r4,q14r5,q15,q16,q17r1,q18,q19,q20r1,q20r2,q20r3,q20r4,q20r5,q21,q71,q22,q23,q24,q25,q26,q27,q28,q29r1,q29r2,q29r3,q29r4,q29r5,q29r6,q30r1,q30r2,q30r3,q30r4,q30r5,q30r6,q30r7,q30r8,oaxaca_treatments,q31,q32,q33,q34,q35r1,q35r2,q35r3,q35r4,q35r5,q36,q37,q37r8oe,q38,q38r8oe,q39,q40,q41,q42,q43,q44,q45,q46,q47,q48,q49,q50r1,q50r2,q50r3,q50r4,q50r5,q50r6,q50r7,q50r7oe,q51,q52r1,q52r2,q52r3,q52r4,q52r5,q52r6,q52r7,q52r8,q52r9,q52r10,q52r11,q52r12,q52r13,q52r14,q72,q53a,q53b,q54,q55,q56r1,q56r2,q56r3,q56r4,q56r5,q56r6,q56r7,q56r8,q56r9,q57,q58,q59,q60,q61,q62,q63r1,q63r2,q63r3,q63r4,q63r5,q63r6,q63r7,q64,q65,q66,q67,q68r1,q68r2,q68r3,q68r4,q68r5,q68r6,q68r7,q68r8,q69r1,q69r2,q69r3,q69r4,q69r5,q69r6,q69r7,q69r8,q69r9,q69r10,q69r11,q69r12,q69r13,q69r14,q69r15,q69r16,q69r17,q69r18,q69r19,q69r20,q69r21,q69r22,q69r23,q69r24,q69r25,q69r26,q69r27,q69r28,q69r29,q69r30,q69r31,q69r32,q69r31oe,q70,vlist,qtime,vmobiledevice,vmobileos,start_date,declang,weight
6492,eactva9k3ctj3num,5/5/25 23:33,3,1,2,1,1,0,0,0,0,0,19,,6,34,,,,,,,,,,,,,,,,,,,,,,,,,,,80,,,,,,,,,,,,,,,,,,,,,,,,6,3,1,10,2,1,1,0,0,6,,1,0,0,1,1,2,1,1,1,1,1,1,3,,3,1,0,0,0,1,0,0,0,0,,1,0,2,2,3,2,,2,0,0,0,1,0,2,3,6,1,2,0,0,1,0,0,1,1,3,2,1,,2,7,4,1,1,2,1,1,2,0,0,1,0,0,1,1,0,1,4,1,1,2,0,0,1,0,0,4,1,,,,2,2,2,2,2,4,4,2,2,1,2,0,0,1,0,0,0,0,,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,3,3,2,1,2,0,0,0,1,0,0,0,1,0,1,1,11,2,1,2,0,1,0,1,0,0,0,2,1,1,,0,0,0,1,0,0,0,0,1,1,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,27967,4,1177.17,5,6,5/5/25 23:11,english,0.6831487
6502,ax794jqg94vqe7h1,5/5/25 23:57,2,1,2,1,1,0,0,0,0,0,6,,2,34,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,6,3,1,8,1,1,1,0,0,5,,1,0,0,1,2,2,1,1,1,2,2,2,2,,2,0,0,0,1,0,0,0,0,0,,1,0,2,2,2,2,,2,0,1,0,0,0,2,2,6,2,2,0,1,0,0,0,1,2,2,2,1,,3,6,2,1,2,1,2,2,2,0,0,0,0,1,0,0,0,1,3,3,2,2,0,1,0,0,0,2,1,,,,2,1,2,2,3,2,2,2,3,2,2,0,1,0,1,0,0,0,,2,0,0,0,0,1,0,0,0,0,0,1,0,0,0,2,3,1,2,2,0,0,0,0,1,0,0,0,0,1,3,10,1,2,1,0,1,0,0,0,0,0,1,1,1,,0,1,0,0,0,0,0,0,1,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,28202,4,1313.08,5,6,5/5/25 23:34,english,1.024723
6843,dw5dcag6a69p8sgk,5/6/25 16:47,2,2,2,0,1,0,0,0,0,0,13,,1,44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,220,,,,,,,,3,1,4,26,2,1,1,0,0,6,,1,0,0,2,3,2,3,2,3,3,2,2,4,,1,0,0,0,0,0,0,0,0,0,0,,1,1,4,5,2,,2,0,0,0,1,0,2,1,7,1,4,0,0,0,0,1,2,3,1,1,2,,4,1,5,2,2,2,2,2,2,0,0,0,0,0,0,0,1,4,3,4,2,1,0,0,0,0,1,4,3,,,,3,1,1,1,1,1,3,1,1,3,3,,,,,,,,,,1,0,0,1,0,0,1,0,0,1,1,0,1,0,3,1,0,,,0,0,0,0,0,0,0,0,1,,4,13,2,4,4,0,0,0,0,0,0,1,,4,,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,76180,3,1165.09,1,2,5/6/25 16:28,spanish,1.266558
6957,7b9umwkw4ut7np5u,5/6/25 19:03,2,2,2,0,1,0,0,0,0,0,10,,2,44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,57,,,,,,,,2,1,6,12,2,1,1,0,0,6,,1,0,0,3,1,1,3,3,3,1,1,1,4,,2,1,0,0,0,0,0,0,0,1,0,,0,5,5,5,2,,2,1,0,0,0,0,4,2,1,2,4,0,0,0,0,1,3,4,5,1,3,,4,10,2,2,3,2,2,2,2,0,0,0,0,0,0,1,0,4,1,3,1,4,0,0,0,0,1,3,1,,,,3,2,1,1,4,3,3,1,1,3,3,,,,,,,,,,0,1,0,0,1,0,0,0,0,0,1,0,1,0,3,1,1,2,1,0,0,0,0,0,0,0,0,1,,2,13,2,4,4,1,0,0,0,0,0,0,,3,,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,75061,7,991.49,1,1,5/6/25 18:45,spanish,1.490068
7090,c4r4cna8kxjpnmpk,5/6/25 21:02,4,2,2,0,1,0,0,0,0,0,8,,5,31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,,,,,,,,,,,,,,,,,,3,1,1,20,2,1,1,0,0,1,,1,0,0,2,2,2,2,3,2,1,2,2,1,,2,0,0,0,0,0,0,0,0,1,,0,0,4,4,2,2,,2,1,0,0,0,0,2,1,7,2,3,0,0,0,0,1,3,4,1,2,3,,4,10,2,2,2,3,2,2,2,0,0,1,0,0,0,0,0,3,4,4,1,2,0,0,0,0,1,3,3,,,,3,1,2,1,3,4,4,3,2,3,3,,,,,,,,,,1,1,0,1,1,0,1,0,1,1,1,1,1,0,3,3,0,,,0,0,0,0,0,0,0,0,1,,3,3,2,3,3,0,0,0,0,1,1,0,1,4,,4,1,0,0,0,0,0,0,0,0,1,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,7522,7,1602.83,1,1,5/6/25 20:34,spanish,0.879554
7144,5z2xesgagjfacmax,5/6/25 21:45,3,2,2,0,1,0,0,0,0,0,13,,1,44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,165,,,,,,,,5,2,4,29,2,1,1,0,0,6,,1,0,0,2,2,2,2,2,1,1,2,2,2,,2,0,0,0,0,0,0,0,0,1,0,,0,2,2,2,2,,2,0,0,1,0,0,2,2,4,2,2,0,0,1,0,0,2,4,1,2,1,,1,2,4,2,2,2,2,2,2,0,0,0,0,1,0,0,0,2,3,2,1,2,0,0,0,0,1,3,3,,,,2,1,3,1,2,3,3,2,2,3,3,,,,,,,,,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,,,0,1,0,0,0,0,0,0,0,4,2,3,1,3,4,1,0,0,0,0,0,0,,2,1,,0,1,0,0,0,0,0,0,1,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,79706,7,693,1,2,5/6/25 21:33,english,0.8105969
7478,d2913cwvcyxvnu4f,5/7/25 12:25,4,2,2,0,1,0,0,0,0,0,13,,1,5,,,,,42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,6,26,2,1,1,0,0,3,,1,0,0,1,1,2,1,1,1,1,2,1,3,,2,0,0,0,0,0,0,0,1,1,0,,0,5,5,3,2,,2,1,0,0,0,0,3,2,4,2,5,0,0,0,0,1,3,4,1,1,3,,3,21,4,2,2,2,2,2,2,0,0,1,0,1,0,0,0,1,2,2,3,3,0,0,0,1,0,2,4,,,,3,1,3,1,1,5,5,1,1,2,3,,,,,,,,,,0,0,0,0,1,0,0,1,0,1,1,0,1,0,3,4,5,2,2,0,0,0,0,0,0,0,1,0,4,2,1,2,2,4,1,0,0,0,0,0,0,,4,,4,1,0,0,0,0,0,0,0,0,0,1,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,93101,3,1122.79,1,1,5/7/25 12:04,english,1.108238
7654,cqqr7fubffekv47h,5/7/25 16:45,4,1,2,0,1,0,0,0,0,0,13,,1,5,,,,,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,1,2,45,2,1,1,0,0,6,,1,0,0,2,2,2,2,2,3,2,2,2,1,,1,0,0,0,0,0,0,0,0,0,0,,1,4,5,4,2,,2,0,0,0,1,0,2,1,6,2,4,0,0,0,0,1,1,4,1,2,3,,3,6,3,3,3,3,2,2,3,0,1,0,0,0,0,1,0,3,4,4,3,3,0,0,0,0,1,3,3,,,,3,1,4,2,3,3,2,3,3,3,3,,,,,,,,,,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,5,2,2,4,1,0,0,0,0,0,0,1,0,1,3,5,4,3,4,1,0,0,0,0,0,0,,2,2,,0,0,0,0,0,0,0,1,0,0,1,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,92407,5,716.19,1,2,5/7/25 16:32,english,1.183555
7658,7gxryy8zpnu4fbf6,5/7/25 16:57,6,2,2,0,1,0,0,0,0,0,8,,5,3,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1,1,61,2,1,1,0,0,6,,1,0,0,3,3,3,3,3,3,3,3,3,3,,1,0,0,0,0,0,0,0,0,0,,0,1,5,5,4,2,,2,0,0,0,1,0,3,3,7,2,4,0,0,0,0,1,1,4,1,2,3,,3,1,1,2,2,2,2,2,2,0,1,1,0,0,1,1,0,1,2,3,3,3,0,0,0,0,1,5,3,,,,3,2,1,1,4,5,5,4,3,1,3,,,,,,,,,,1,0,0,1,1,0,1,1,1,1,1,1,1,0,2,1,0,,,0,0,0,0,0,0,0,0,1,,3,13,2,2,4,0,0,0,0,0,0,1,2,4,,4,0,0,0,0,0,0,1,0,0,0,0,0,1,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,85201,4,1137.24,1,2,5/7/25 16:38,english,1.209387
7778,hz69ubbn3abppmad,5/7/25 21:30,2,2,2,0,1,0,0,0,0,0,13,,1,3,,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,1,5,25,2,1,1,0,0,6,,1,0,0,2,2,2,3,2,2,3,2,2,2,,2,0,0,0,0,0,0,0,0,0,1,,0,5,5,3,2,,2,0,0,0,1,0,2,1,5,2,5,0,0,1,0,0,1,1,1,2,2,,4,7,3,3,3,2,2,2,2,0,1,0,0,1,0,0,0,3,3,3,2,2,0,0,0,0,1,3,1,,,,2,3,4,1,5,5,3,1,1,3,3,,,,,,,,,,1,1,0,0,0,0,1,1,1,1,1,0,1,0,3,3,2,2,1,0,0,1,0,0,0,1,1,0,1,3,8,3,3,4,0,1,1,1,1,0,0,,3,,3,1,0,0,0,0,0,0,0,1,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,86047,5,1080.07,1,2,5/7/25 21:11,english,1.055465
7862,nkngxb5ad6844wgx,5/7/25 23:24,3,1,2,0,1,0,0,0,0,0,13,,1,5,,,,,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,1,3,27,2,1,1,0,0,3,,1,0,0,2,2,2,2,2,2,2,2,2,3,,3,0,0,0,0,0,0,0,0,0,0,,1,2,2,2,2,,2,0,0,0,1,0,2,1,6,1,2,0,0,0,0,1,1,3,2,1,1,,2,2,3,2,2,2,2,2,2,0,0,1,0,0,0,0,0,2,3,3,1,4,0,0,0,0,1,3,1,,,,2,1,2,2,2,4,4,2,2,1,3,,,,,,,,,,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,2,0,,,0,0,0,0,0,0,0,0,1,,2,11,1,2,1,1,0,0,0,0,0,0,,1,1,,0,1,0,0,0,0,0,0,1,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,92516,5,1882.8,5,6,5/7/25 22:52,english,0.946844
7863,9pgjhpw0rkrbh4zv,5/7/25 23:34,3,2,2,0,1,0,0,0,0,0,13,,1,5,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,1,3,26,2,1,1,0,0,3,,1,0,0,2,2,2,2,2,2,2,2,2,2,,2,0,0,0,0,0,0,0,0,0,0,,1,2,2,2,2,,2,0,0,0,1,0,2,1,6,1,3,0,0,0,0,1,2,3,2,2,1,,2,4,3,2,2,2,2,2,2,0,0,1,0,0,0,0,0,4,3,3,1,1,0,0,0,0,1,3,1,,,,2,1,2,1,2,4,4,2,2,1,3,,,,,,,,,,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,4,0,,,0,0,0,0,0,0,0,0,1,,2,10,1,2,1,1,0,0,0,0,0,0,,1,1,,0,1,0,0,0,0,0,0,1,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,90189,5,2469.9,5,6,5/7/25 22:52,english,0.8865903
8264,n171za6csdmgs2bw,5/8/25 14:51,2,2,2,0,1,0,0,0,0,0,10,,2,33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31,,,,,,,,,,,,,,,,,3,1,4,7,2,1,1,0,0,2,,1,0,0,2,2,2,2,1,2,1,2,2,2,,1,0,0,0,0,0,0,0,0,0,0,,1,4,4,3,2,,2,0,0,0,0,1,2,1,5,2,3,0,0,0,0,1,3,3,1,2,2,,3,6,4,3,2,2,2,1,2,0,1,1,0,0,0,0,0,3,3,2,3,3,0,0,0,0,1,4,9,,,,2,2,1,2,2,2,2,2,2,3,3,,,,,,,,,,1,1,0,0,1,0,0,0,0,1,1,1,1,0,3,2,2,1,2,0,0,0,0,0,0,0,0,1,,2,13,3,3,2,0,0,0,0,0,0,1,,4,,4,0,0,0,1,0,0,0,0,1,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,11701,3,971.88,1,1,5/8/25 14:31,spanish,1.639075
8333,qzqx6ac3a2merpng,5/8/25 16:08,2,2,2,0,1,0,0,0,0,0,13,,1,3,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,1,4,25,2,1,1,0,0,6,,1,0,0,2,2,2,2,2,2,1,2,1,4,,2,1,0,0,0,1,1,0,1,1,0,,0,5,5,5,2,,2,1,1,1,0,0,3,2,4,3,4,0,0,0,0,1,1,1,1,1,3,,2,4,2,3,3,3,3,3,2,0,0,0,1,1,0,0,0,2,1,1,2,4,1,0,0,1,0,3,3,,,,3,1,1,1,1,5,4,1,1,2,2,0,0,1,0,0,0,0,,2,1,1,0,0,1,0,0,0,1,1,0,1,1,0,3,2,2,2,1,1,1,1,0,0,1,0,1,0,1,2,5,2,1,1,0,1,1,1,1,1,0,,2,1,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,85301,3,850.25,5,6,5/8/25 15:54,english,1.055465
8470,yb6nvnun8gq4gz3c,5/8/25 22:16,4,2,2,0,1,0,0,0,0,0,13,,1,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,3,1,1,35,2,1,1,0,0,6,,1,0,0,3,2,3,3,3,3,3,2,3,1,,1,0,0,0,0,0,0,0,0,0,,0,1,5,4,4,2,,2,0,0,0,0,1,4,1,5,2,3,0,0,0,0,1,3,4,1,2,2,,2,6,2,2,2,2,2,2,2,0,0,0,0,0,0,1,0,4,3,2,3,5,0,0,0,0,1,6,1,,,,1,2,4,2,4,3,3,4,4,1,3,,,,,,,,,,0,1,1,0,0,0,0,0,0,0,0,0,1,0,3,6,1,2,3,0,0,0,0,0,0,0,0,1,,3,5,2,2,4,1,0,0,0,0,0,0,1,2,2,,1,0,0,0,0,0,0,0,1,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,89145,5,2024.89,1,2,5/8/25 21:41,english,0.897145
8927,8qfzrhatbdqkb7fx,5/9/25 15:14,2,1,2,0,1,0,0,0,0,0,12,,2,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,3,1,2,25,1,1,1,0,0,6,,1,0,0,1,2,2,1,1,1,1,1,1,4,,3,0,0,0,0,0,0,0,0,0,0,,1,2,2,1,2,,2,0,1,0,0,0,2,2,7,2,2,1,0,0,0,0,2,1,4,2,1,,1,6,4,1,1,2,2,2,2,0,0,1,0,0,0,0,0,3,5,5,2,3,0,0,1,0,0,1,4,,,,2,1,2,2,2,4,4,3,3,3,2,0,1,0,0,0,0,0,,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,4,1,2,3,0,0,0,0,0,0,1,0,0,4,3,1,3,3,4,1,0,0,0,0,0,0,,3,,2,0,0,1,0,0,0,0,0,0,1,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,7001,3,429.99,3,2,5/9/25 15:06,spanish,1.326112
8987,smu4n9abr67r39cf,5/9/25 17:03,5,2,2,0,1,0,0,0,0,0,13,,1,44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,108,,,,,,,,2,1,1,34,2,1,1,0,0,3,,1,0,0,2,2,2,2,2,2,2,2,2,3,,2,1,0,0,0,0,1,0,0,0,,0,0,5,5,4,2,,2,0,0,1,0,0,1,1,7,1,3,0,0,0,1,0,1,1,1,2,1,,1,9,4,2,2,2,2,2,2,0,0,1,0,0,1,1,0,2,5,5,1,3,0,1,0,0,0,5,1,,,,1,1,3,4,4,4,4,4,4,1,3,,,,,,,,,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,,,0,0,0,0,0,0,0,0,1,,3,7,1,1,2,1,0,0,0,0,0,0,1,1,1,,0,1,0,0,0,0,0,0,1,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,78541,1,1807.56,6,6,5/9/25 16:29,spanish,1.076574
9296,v313ue5ewksf8cya,5/10/25 15:39,4,2,2,0,1,0,0,0,0,0,13,,1,48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39,,,,3,1,1,20,1,1,1,0,0,8,casamiento,1,0,0,2,2,2,2,2,2,2,2,2,3,,2,0,0,0,0,0,0,1,0,0,,0,0,5,5,5,2,,2,0,0,0,1,0,2,1,7,1,4,0,0,0,0,1,1,3,3,2,2,,1,4,3,2,2,2,2,2,2,0,0,0,0,0,1,0,0,2,2,3,2,2,0,0,0,1,0,3,3,,,,3,1,2,2,2,5,5,4,4,1,3,,,,,,,,,,0,1,0,0,0,0,0,0,0,0,1,0,0,0,2,2,2,2,3,0,0,0,0,0,0,0,0,1,,3,9,1,2,2,1,0,0,0,0,0,0,1,3,,2,0,0,0,1,0,0,0,0,0,0,1,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,98944,1,1696.09,6,6,5/10/25 15:04,spanish,0.9868595
9347,hv63w8ehf13tp2pz,5/10/25 16:18,5,2,2,0,1,0,0,0,0,0,13,,1,5,,,,,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,1,2,16,2,1,1,0,0,3,,1,0,0,2,2,2,2,2,2,3,2,2,1,,2,0,0,0,0,0,0,0,0,1,0,,0,3,4,4,2,,2,0,0,0,1,0,3,2,6,2,4,0,0,0,0,1,3,3,2,1,3,,3,3,3,2,2,2,2,2,2,0,1,1,0,0,0,0,0,4,4,4,2,3,0,0,0,0,1,3,4,,,,3,1,2,2,2,4,4,3,3,1,3,,,,,,,,,,1,1,0,0,1,0,0,0,0,0,1,0,1,0,3,2,1,2,2,0,0,0,0,0,0,0,0,1,,2,8,2,3,2,0,0,0,0,1,0,0,,2,2,,0,0,0,0,1,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,90650,5,626.17,1,2,5/10/25 16:07,spanish,1.108238
9410,jg2btjnyqzd2wxmm,5/10/25 17:46,3,2,2,0,1,0,0,0,0,0,13,,1,38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30,,,,,,,,,,,,,,3,1,2,21,2,1,1,0,0,6,,1,0,0,2,2,2,3,2,2,3,2,2,1,,1,0,0,0,0,0,0,1,0,1,0,,0,3,2,2,2,,2,0,1,1,0,0,2,2,4,2,3,0,0,0,0,1,3,4,5,4,2,,1,8,3,2,3,2,2,2,2,0,1,1,0,0,0,0,0,3,3,5,3,3,0,1,0,0,0,4,3,,,,3,3,2,2,3,5,5,3,2,1,3,,,,,,,,,,1,1,0,1,1,0,1,0,1,1,1,1,1,0,3,2,5,2,2,0,0,0,0,0,1,1,0,0,1,3,8,1,2,1,0,0,0,0,1,0,0,,1,2,,1,0,0,0,0,0,0,0,1,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,97838,5,1150.57,1,2,5/10/25 17:26,spanish,0.8443719
9527,vsfb6buzybt64e40,5/10/25 20:38,5,2,2,0,1,0,0,0,0,0,13,,1,38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24,,,,,,,,,,,,,,5,2,1,40,2,1,1,0,0,3,,1,0,0,1,2,1,1,2,1,2,2,1,4,,2,1,0,0,0,0,1,0,0,0,,1,0,1,2,1,2,,2,0,0,0,1,0,2,1,5,2,3,0,0,0,0,1,1,3,1,2,1,,2,3,4,1,2,2,1,1,2,1,0,1,0,0,0,1,0,2,2,4,1,2,1,0,1,0,0,3,3,,,,2,1,2,2,2,4,5,2,3,1,2,0,1,0,1,0,0,0,,2,0,0,1,0,1,0,0,0,0,0,0,0,0,1,1,3,0,,,1,1,0,1,0,0,0,0,0,2,3,10,1,2,2,0,0,0,0,0,1,0,1,2,2,,0,0,1,0,0,0,0,0,1,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,97301,5,666.58,5,6,5/10/25 20:26,english,0.717716
10112,q37gcedy1np8p54s,5/12/25 11:53,5,1,2,0,1,0,0,0,0,0,13,,1,44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,,,,,,,,4,2,1,31,2,1,1,0,0,2,,1,0,0,1,2,1,2,1,1,2,2,1,2,,2,0,1,0,1,0,0,1,1,0,,0,0,4,2,2,2,,2,0,1,1,0,0,1,2,4,2,3,0,0,0,0,1,2,1,4,1,2,,2,1,3,1,2,1,3,2,2,0,1,0,0,0,1,1,0,2,2,2,1,2,0,1,1,0,0,2,4,,,,3,1,2,2,2,4,3,2,3,1,2,0,1,0,1,0,0,0,,1,0,0,1,1,0,1,0,0,0,0,0,0,1,1,2,1,0,,,0,0,0,0,1,1,0,1,0,4,2,6,1,1,1,0,0,0,0,1,1,0,1,1,2,,0,0,1,0,0,0,0,0,1,0,0,0,1,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,77541,4,414.57,1,2,5/12/25 11:45,english,0.9197915
10401,6bjdn4k8h6dkktsu,5/12/25 14:21,6,1,2,0,1,0,0,0,0,0,13,,1,5,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,46,1,1,1,0,0,1,,1,0,0,2,2,2,2,2,2,2,2,2,3,,2,0,0,0,0,0,0,1,0,0,,0,0,5,4,2,2,,2,0,0,1,0,0,1,2,7,1,1,0,0,0,0,1,2,1,2,3,1,,1,5,4,2,2,2,2,2,2,0,0,0,0,0,1,1,0,2,5,5,1,4,0,0,0,0,1,1,3,,,,4,1,3,4,3,4,4,4,4,1,3,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,1,1,1,0,2,2,0,,,0,0,0,0,0,0,0,0,1,,3,3,1,1,4,1,0,0,0,0,0,0,1,1,1,,0,1,0,0,0,0,0,0,0,0,0,1,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,95973,1,2400.63,6,6,5/12/25 13:37,spanish,1.38328
10620,8c70tf6deztfxp2m,5/12/25 16:15,6,1,2,0,1,0,0,0,0,0,13,,1,44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,220,,,,,,,,2,1,1,5,2,1,1,0,0,1,,1,0,0,2,2,2,2,2,2,2,2,2,3,,1,0,0,0,0,0,0,0,0,0,,0,1,3,4,3,2,,2,0,0,0,1,0,2,1,7,2,3,0,0,0,0,1,3,3,5,1,3,,4,1,4,2,2,2,2,2,2,0,1,0,0,0,0,0,0,3,3,3,3,4,0,0,0,0,1,4,4,,,,3,2,2,2,2,4,5,3,2,1,3,,,,,,,,,,0,1,0,0,1,0,0,0,0,0,1,0,0,0,3,5,0,,,0,0,0,0,0,0,0,0,1,,2,6,2,3,1,0,0,0,0,1,1,0,2,3,,3,0,1,0,0,0,0,0,0,0,1,0,0,1,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,76010,1,1433.62,6,6,5/12/25 15:47,spanish,1.580891
